"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"288","discrimi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289","disdainf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","disguisl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291","dishones",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292","disoblig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293","disorder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","disorgan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295","dispassi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296","disregar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297","disrespe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298","disrupti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"299","dissatis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300","dissensu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"301","dissocia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","distant",242,10,28,27,27,25,13,6,18,22,4,9,8,7,11,27
"303","distract",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"304","distrust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305","divertib",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306","docile",4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"307","doctrina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","dogged",15,2,2,1,0,1,1,0,0,2,0,2,2,0,2,0
"309","dogmatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310","doleful",25,3,1,1,4,2,2,1,6,2,1,1,0,1,0,0
"311","dominant",4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"312","domineer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313","doublefa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314","doubleto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","downtoea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","dreamy",20,0,2,0,3,1,1,1,4,4,1,2,0,0,0,1
"317","dull",287,7,30,23,30,30,13,3,28,24,7,28,10,18,4,32
"318","dullwitt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
